,ISO,ShutterSpeedValue,ApertureValue,FocalLength,MaxAperture,Version,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
ISO,1.0,0.025381474239699685,-0.26474949627141,-0.23488264724339505,0.13023815658107982,0.2979453908596637,-0.2819941432125577,-0.27045535469210835,-0.08769455252646889,-0.091903071752448,-0.2273848031324477,-0.0586816636252335,-0.2793352315836263,-0.2819941432125577,-0.2486338050737738,0.1878380764255916,0.2385446606342365,-0.24985841487883007,-0.22554148392785622,-0.26464159401948023,-0.2819941432125577,-0.23359526649348347,-0.10738497558457054,-0.09989273565277597,-0.2438811191828938,-0.18390717631282263,-0.26492459092809684
ShutterSpeedValue,0.025381474239699685,1.0,0.33327816983196096,-0.4512486593346201,0.10204337107209865,0.26960929324933486,-0.18489282917473776,-0.16944742521549844,0.09875070939593951,0.09054968410429262,-0.16210281851167788,-0.06485762482274529,-0.18953175854619178,-0.18489282917473776,-0.14307481400522043,0.38558924370082104,0.38621761341682403,-0.16197888167181226,-0.11492345213780293,-0.18441053639640417,-0.18489282917473776,-0.13967717242207517,0.10322934830679918,0.06310048317836134,-0.172967266728417,-0.11540180435223142,-0.1857582409496292
ApertureValue,-0.26474949627141,0.33327816983196096,1.0,0.05282168818027753,-0.41397524370854794,-0.3230512998533819,0.8272728489410084,0.7749116720129279,0.1782789815918432,0.1742206805540784,0.5676021568916723,0.04901082766397184,0.7651195968528923,0.8272728489410084,0.699214726505402,0.2730677487771346,0.20628467577489115,0.7677455672663136,0.7068669927524587,0.7976648692586416,0.8272728489410084,0.6142273340894486,0.38143984713194967,0.31896665963677545,0.7411883007113798,0.5167241451959721,0.8131418945298708
FocalLength,-0.23488264724339505,-0.4512486593346201,0.05282168818027753,1.0,-0.3715521978634797,-0.6884664656393925,0.35581748979871486,0.3216970319043404,0.023016285176917384,0.028402678219894256,0.27447880293083027,0.11755669252692172,0.3379520340544293,0.35581748979871486,0.2543792111311262,-0.19096156015173307,-0.2039628798598089,0.31465113991688476,0.2607672986239786,0.37866210663653627,0.35581748979871486,0.2434307468397639,0.012522066097382748,0.03732268262740162,0.29205077564576154,0.13473622552349215,0.36433246081251097
MaxAperture,0.13023815658107982,0.10204337107209865,-0.41397524370854794,-0.3715521978634797,1.0,0.3743477681145322,-0.5349798078478573,-0.49680595937054617,-0.1343568790427836,-0.14026268010786924,-0.4029622748975517,-0.13344553045020055,-0.5069629129465962,-0.5349798078478573,-0.43167132694795773,-0.10907134323023585,-0.06570953133757226,-0.47554698390888284,-0.41517028178477144,-0.534628056002217,-0.5349798078478573,-0.3984453814196812,-0.16468101996330167,-0.1745788975961939,-0.45172793952013046,-0.26960983721897336,-0.5257829171615165
Version,0.2979453908596637,0.26960929324933486,-0.3230512998533819,-0.6884664656393925,0.3743477681145322,1.0,-0.530764432021197,-0.48614301486492684,-0.06345508246614733,-0.0671219544025375,-0.3737360108302382,-0.10481041148760853,-0.4921148692312599,-0.530764432021197,-0.39345763642583864,0.12967061543716144,0.15257398035916972,-0.46994015561162855,-0.40644925440557095,-0.5539422654743593,-0.530764432021197,-0.37137056532693435,-0.11188829121849328,-0.1398782711586847,-0.4380634796608482,-0.21427348230757576,-0.5382369984167007
Hue_Mean,-0.2819941432125577,-0.18489282917473776,0.8272728489410084,0.35581748979871486,-0.5349798078478573,-0.530764432021197,1.0,0.95671342877215,0.20235919879393002,0.20648987419307044,0.7117435545481547,0.10473000837654649,0.9424430311020909,1.0,0.8771202225027885,0.12769075223180368,0.06300920703100729,0.8960107849629848,0.8099384440359665,0.9473239205029808,1.0,0.8127405670388723,0.406715494065625,0.3741116381765575,0.8729327216365049,0.6183298044071395,0.9514553863666401
Hue_StdDev,-0.27045535469210835,-0.16944742521549844,0.7749116720129279,0.3216970319043404,-0.49680595937054617,-0.48614301486492684,0.95671342877215,1.0,0.40975707110313764,0.4148406729581551,0.6747394578077938,0.033839339200890446,0.9063423464786365,0.9567134287721499,0.9606935867198346,0.25635385946246914,0.18789527658785227,0.823885566763789,0.7400839651692163,0.8492469685820155,0.9567134287721499,0.8859183444231945,0.5248810753537259,0.48911604986801643,0.7925280957261077,0.5742597071809281,0.8716425224745126
Hue_Skewness,-0.08769455252646889,0.09875070939593951,0.1782789815918432,0.023016285176917384,-0.1343568790427836,-0.06345508246614733,0.20235919879393002,0.40975707110313764,1.0,0.9865592955416183,0.19960372299335602,-0.06959647666551005,0.24770618962431465,0.20235919879392997,0.4765795902688635,0.5243868906207696,0.46269354325528006,0.09988544130939427,0.06265554804878545,0.045655112823368614,0.20235919879392997,0.4200644989785732,0.590530857376038,0.5520975739666667,0.08990035277364809,0.12845539032971742,0.09907997794759338
Hue_Kurtosis,-0.091903071752448,0.09054968410429262,0.1742206805540784,0.028402678219894256,-0.14026268010786924,-0.0671219544025375,0.20648987419307044,0.4148406729581551,0.9865592955416183,1.0,0.21661576379248887,-0.04045209515776056,0.25820024549311466,0.2064898741930704,0.47076487970232817,0.5083535277227195,0.46026864366187487,0.11628376359978639,0.06940784930443021,0.059951512533025116,0.2064898741930704,0.4177866381875585,0.5633353304969045,0.541664338111267,0.10041462864771222,0.13171929315256029,0.10811643437954288
