,ISO,ShutterSpeedValue,ApertureValue,Flash,ExposureCompensation,LensType,FocalLength,MaxAperture,Professional,Version,AutofocusType,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
ISO,1.0,0.0,0.41824394612720717,0.14206602047165723,0.0,0.02060878205643361,0.35504661944090365,0.2771816941169356,0.02060878205643361,0.338517594776568,0.02060878205643361,0.31041336550377063,0.11288279213582413,0.0,0.0,0.056921737870402875,0.0,0.11288279213582438,0.31041336550377063,0.10250720092323048,0.3675073485006293,0.3736104862593567,0.092557383679084,0.07683367987411065,0.11288279213582438,0.31041336550377063,0.10912125463440164,0.10521774714256547,0.0,0.09204390503806685,0.0,0.09306418001918117
ShutterSpeedValue,0.0,1.0,0.6835326121432722,0.9262731142437395,0.0,0.028937074412493675,0.71891555460371,0.4328753650066256,0.028937074412493675,0.38249825931866643,0.028937074412493675,0.2844482067871375,0.12180973198119766,0.16389584882677444,0.19044272261328637,0.07062022724728344,0.0,0.12180973198119756,0.2844482067871375,0.10444608341158133,0.41289103875499883,0.41121538089534354,0.09589020542284149,0.08274037644675622,0.12180973198119766,0.2844482067871375,0.1182020354183624,0.10812977863617436,0.0,0.0954531140688434,0.0,0.09632631223235218
ApertureValue,0.41824394612720717,0.6835326121432722,1.0,0.8394181473632255,0.23515825030384208,0.3014979875837691,0.7045845268253247,0.7873595274735308,0.3014979875837691,0.5885626720485828,0.3014979875837691,0.9178947638272836,0.8108960971480139,0.374003887652938,0.38168139105908283,0.7511957207463221,0.23891342886503777,0.7855460890513728,0.9178947638272836,0.6916449041535436,0.47284558391508347,0.4940533421029337,0.6202044496292106,0.6315140458870807,0.8673703142043669,0.9178947638272836,0.8653316512150147,0.5950671819519905,0.6043635373298338,0.638475317879309,0.6177371900336416,0.68162940034562
Flash,0.14206602047165723,0.9262731142437395,0.8394181473632255,1.0,0.07905122304179876,1.0,0.640198281921153,0.954404004723597,1.0,0.21660452716744202,1.0,0.21038644035702622,0.46897727081568985,0.18703724162384264,0.201220302864681,0.40657190355435835,0.0,0.46897727081568996,0.21038644035702622,0.3617261636598358,0.5550242434672292,0.5279344042145222,0.35251239570933784,0.3350939540226021,0.46897727081568996,0.21038644035702622,0.4640541407116069,0.2351411714571009,0.1306050488566291,0.352053605004337,0.29421584286156366,0.3529713620401671
ExposureCompensation,0.0,0.0,0.23515825030384208,0.07905122304179876,1.0,0.15041864117441153,0.0,0.07905122304179915,0.15041864117441153,0.0,0.15041864117441162,0.0,0.0,0.06770037010104413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LensType,0.02060878205643361,0.028937074412493675,0.3014979875837691,1.0,0.15041864117441153,1.0,0.32135284216416227,1.0,0.9999651921483947,0.3306690258278243,0.9999651921483947,0.3776198295794102,0.2404065775375515,0.1048741336321836,0.12447594672987619,0.20174202336512428,0.0,0.2404065775375515,0.3776198295794102,0.31140187279554815,0.3258355738730292,0.2654135783074626,0.3022428671743117,0.28190274768220025,0.2404065775375515,0.3776198295794102,0.2372399154607525,0.18242401661364693,0.090128684630659,0.30178942332247377,0.24646256672967573,0.30269672706441225
FocalLength,0.35504661944090365,0.71891555460371,0.7045845268253247,0.640198281921153,0.0,0.32135284216416227,1.0,0.6768557621769373,0.3213528421641623,1.0,0.3213528421641623,0.7430430250069648,0.47945759261771737,0.26394913907880957,0.2692661772291812,0.3674487540605201,0.0,0.4550994626223189,0.7430430250069648,0.5060940626759983,0.45143270859799095,0.4321153545655948,0.46598837895878725,0.4373122151666607,0.4942593053654696,0.7430430250069648,0.48342937457259144,0.24532007164977693,0.2447668855647437,0.4672314586833787,0.42230762551814094,0.4875763846333008
MaxAperture,0.2771816941169356,0.4328753650066256,0.7873595274735308,0.954404004723597,0.07905122304179915,1.0,0.6768557621769373,1.0,1.0,0.7237104904032117,1.0,0.3907172748790608,0.7519124597862218,0.26122854178783433,0.2782241604950537,0.632590489226484,0.0,0.7321839428545831,0.3907172748790608,0.6119955962011586,0.36092034144876634,0.3342630020104251,0.5789449378954777,0.5501147071191536,0.7639466154758864,0.3907172748790608,0.7533116788571669,0.2457342233891427,0.2542256181961292,0.5799838288101926,0.5216998656198414,0.5947818697817586
Professional,0.02060878205643361,0.028937074412493675,0.3014979875837691,1.0,0.15041864117441153,0.9999651921483947,0.3213528421641623,1.0,1.0,0.3306690258278243,0.9999651921483947,0.3776198295794102,0.2404065775375515,0.1048741336321836,0.12447594672987619,0.20174202336512428,0.0,0.2404065775375515,0.3776198295794102,0.31140187279554815,0.3258355738730292,0.2654135783074626,0.3022428671743117,0.28190274768220025,0.2404065775375515,0.3776198295794102,0.2372399154607525,0.18242401661364693,0.090128684630659,0.30178942332247377,0.24646256672967573,0.30269672706441225
Version,0.338517594776568,0.38249825931866643,0.5885626720485828,0.21660452716744202,0.0,0.3306690258278243,1.0,0.7237104904032117,0.3306690258278243,1.0,0.33066902582782454,0.7385086569752144,0.5618843883066235,0.2593820441183963,0.27618748729040987,0.4244455878379854,0.02394913208658427,0.5336265634812792,0.7385086569752144,0.7225238521510237,0.27548759818138757,0.2798038010003733,0.6649950415136429,0.6228802808854008,0.5794412647511374,0.7385086569752144,0.5655682932091454,0.2186717798533367,0.27995209192550957,0.6670840764763943,0.5899742321479026,0.6944823594848931
