,ISO,ShutterSpeedValue,ApertureValue,FocalLength,MaxAperture,Version,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
ISO,1.0,-0.007805191464125601,-0.3300233011198327,-0.2806111922046018,0.26337191435277657,0.3331449780216086,-0.44512207895060285,-0.3844349344180194,-0.029588410549657697,-0.028962391824126677,-0.4035986171194361,0.003837986689699558,-0.42172575154307596,-0.44512207895060285,-0.3634053895161817,-0.03434404924057956,-0.028359509601351154,-0.3933189851437636,-0.41104265285571806,-0.3150643675318557,-0.44512207895060285,-0.3815560783347316,-0.11998174929535896,-0.11893768528291603,-0.38691013686764386,-0.4151950496843181,-0.3896937020384646
ShutterSpeedValue,-0.007805191464125601,1.0,0.5327610302110876,-0.1952062876208122,-0.0344547462009969,0.06570426759591967,0.31902513432706514,0.3328619296715212,0.14772030472465622,0.1509999619591372,0.22486805724665554,-0.03796395419292861,0.22739960514172292,0.31902513432706514,0.4122682895110203,0.3284221627979881,0.31783397750583775,0.2887230399500603,0.38134855607491186,0.14915045055604828,0.31902513432706514,0.3397965259989252,0.2598596983021429,0.2624101192356738,0.2534368353009186,0.31275600971467943,0.2106157894006293
ApertureValue,-0.3300233011198327,0.5327610302110876,1.0,0.05736242114639538,-0.3069682699528209,-0.2308714708220503,0.730079974497635,0.6634938699912831,0.12109224196521998,0.12499082873136205,0.5744195382729393,0.07048815808144815,0.57509089345147,0.730079974497635,0.6726645121135705,0.2579727136259951,0.2616003132976071,0.6713129024150709,0.7156238854342285,0.5864460804176753,0.730079974497635,0.6674524341283743,0.4231427530745386,0.4590342485147311,0.6240397828829011,0.6472964484741967,0.5844224869274891
FocalLength,-0.2806111922046018,-0.1952062876208122,0.05736242114639538,1.0,-0.7325286120703735,-0.8884177162928677,0.46669039634426096,0.35411455398596436,0.027376728976116906,0.03737931843887564,0.4453802934769147,0.34244778747866916,0.424945027977811,0.46669039634426096,0.29113509560152623,-0.1345843300302961,-0.12458961914039594,0.3981823114162472,0.3469330811642271,0.5081088579393502,0.46669039634426096,0.33281168000083716,0.05472043207414642,0.09278144694451552,0.37539578814879065,0.28996557996190714,0.47493333519613057
MaxAperture,0.26337191435277657,-0.0344547462009969,-0.3069682699528209,-0.7325286120703735,1.0,0.7061553251355496,-0.6148447143476291,-0.48906181516295033,-0.109150084017256,-0.12401276576053018,-0.5868770545939828,-0.437376409743193,-0.5585768242667679,-0.6148447143476291,-0.5051098896670487,-0.07727167809604123,-0.0862862059416204,-0.5259942744107475,-0.5014701813873957,-0.5846566593476994,-0.6148447143476291,-0.48207439978724226,-0.17103625099313155,-0.2188707099179379,-0.49928098437614454,-0.4380575084932863,-0.5562306679080989
Version,0.3331449780216086,0.06570426759591967,-0.2308714708220503,-0.8884177162928677,0.7061553251355496,1.0,-0.5307644320211969,-0.4365969834823022,-0.04639487102484897,-0.055315497968997984,-0.4501022651602584,-0.2666118507616377,-0.44230229676059074,-0.5307644320211969,-0.3666114463225352,0.08436699581306097,0.07585862677959071,-0.4553685118414948,-0.4186599181151606,-0.5377368003882262,-0.5307644320211969,-0.39480988741296286,-0.1138846622176607,-0.16158924491258914,-0.4265118000152292,-0.3387505119772248,-0.5227354215502561
Hue_Mean,-0.44512207895060285,0.31902513432706514,0.730079974497635,0.46669039634426096,-0.6148447143476291,-0.5307644320211969,1.0,0.8637598292557835,0.1784353313419372,0.19314012925231827,0.8593936824710294,0.29149937994977176,0.8637604112851746,1.0,0.8637598292557835,0.19417957951730605,0.19894113312638181,0.8637619320270674,0.8580118601084202,0.863760257424153,1.0,0.8637598292557835,0.44556160093762986,0.4958006597031921,0.8515573518053879,0.8145401451446019,0.8637603561127786
Hue_StdDev,-0.3844349344180194,0.3328619296715212,0.6634938699912831,0.35411455398596436,-0.48906181516295033,-0.4365969834823022,0.8637598292557835,1.0,0.5539302361740722,0.5384405372218589,0.6665532214080894,0.017551313286257947,0.6468282828964391,0.8637598292557835,0.9378568891645631,0.4060213767681865,0.38306354918089724,0.6365867294438439,0.6569440017362308,0.6034372711116719,0.8637598292557835,0.9012775769132393,0.6229037051327349,0.6466459268629129,0.644074489289616,0.649704715579903,0.666623276913211
Hue_Skewness,-0.029588410549657697,0.14772030472465622,0.12109224196521998,0.027376728976116906,-0.109150084017256,-0.04639487102484897,0.1784353313419372,0.5539302361740722,1.0,0.9921526867134043,0.1884434917540734,-0.08164854977658538,0.16751828427288215,0.1784353313419372,0.5030343111801652,0.5338713893402317,0.49182724576721426,-0.031739701336476786,0.02487131470481291,-0.08719025233167689,0.1784353313419372,0.44410994620384553,0.6098821952265489,0.5842786864505469,0.022122265291049954,0.10558422232949949,-0.030011919758178247
Hue_Kurtosis,-0.028962391824126677,0.1509999619591372,0.12499082873136205,0.03737931843887564,-0.12401276576053018,-0.055315497968997984,0.19314012925231827,0.5384405372218589,0.9921526867134043,1.0,0.21127914067277714,-0.04431558420832171,0.19866070747217257,0.19314012925231827,0.4974306183374379,0.5207755870088944,0.48247754856012637,-0.009835610524987968,0.04467156796472476,-0.05990437815240294,0.19314012925231827,0.4411262587710246,0.5980852382417641,0.5779779223028443,0.0390374342963128,0.12353326143334045,-0.014025380236747324
