ISO,ShutterSpeedValue,ApertureValue,Flash,ExposureCompensation,LensType,FocalLength,MaxAperture,Professional,Version,AutofocusType,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
500,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,520.2301699127993,7.42798340379956,64.22503214080939,39.0,6.75,147.0,171.0,303.3223713106239,4.158634302884541,21.426010021872273,71.5,12.0,215.0,171.0,271.63138510672877,3.236444078204477,10.565221504028782,91.5,25.0,186.25
400,0.0015625,1.6,"Off, Did not fire",0,EF,85,1.2,L,2,USM,171.0,504.06013251148914,10.391352586001775,133.55332025152634,39.0,4.75,170.75,171.0,441.39498326328993,11.45251023462967,150.37651660475433,108.0,30.0,198.5,171.0,261.45773738311897,3.3759780565769817,13.063793681837726,86.0,30.0,207.5
400,0.003125,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,489.6605807853027,6.0998039873093015,44.44707905690012,39.0,11.0,105.25,171.0,385.9736572131575,8.29752290612251,79.22972507074965,98.5,30.75,196.0,171.0,233.2513397603538,3.152534296566443,11.216642681452184,132.5,32.0,187.0
100,0.0025,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,521.1569911024892,4.543582476114672,23.848290239659292,2.5,0.0,42.5,171.0,195.13735146685784,2.0700995648314886,8.502620495408404,118.5,7.0,265.5,171.0,140.368989185646,1.4507980870568586,3.663195422663782,137.0,78.25,237.5
4000,0.01,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,380.43646808632843,3.2413962832333176,11.960345672756393,8.5,1.0,119.25,171.0,519.0356141441548,14.219794637595284,214.6026159398611,122.0,48.0,181.0,171.0,242.4115495907734,3.398188595817965,12.028492052769218,93.0,64.0,145.5
400,0.003125,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,491.63718838183917,5.2267988943659125,30.793241171194822,29.0,4.75,87.0,171.0,323.83301300593183,6.185130263767639,50.81511927711869,73.0,17.75,229.0,171.0,240.27910203552867,3.4206077685141065,12.888672510265817,110.0,40.0,183.25
250,0.003125,1.8,No Flash,0,RF,50,1.8,No,0,STM,171.0,420.97528134084075,6.67213866633162,62.261454518248854,24.0,1.0,167.75,171.0,207.9340715827976,0.8140213547436403,-0.7054433660662758,32.0,1.0,391.0,171.0,132.36508461448585,1.6547483999533814,2.0468945711583926,119.5,88.0,178.0
160,0.0015625,1.8,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,555.0831722588968,6.334671928421871,54.284611409986596,0.0,0.0,43.5,171.0,711.2262188467183,5.765759150614506,36.14051377540554,0.0,0.0,4.25,171.0,242.47100342102763,2.1847864396113073,4.37900011391864,62.5,14.75,205.25
400,0.00125,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,457.3850179963266,4.989824418362675,28.526671634298324,31.0,8.0,101.75,171.0,278.7739059255726,5.517620091232112,37.40919009091598,110.0,33.75,216.0,171.0,212.25160114237065,3.7170709977637726,16.544202918264844,118.5,72.0,146.25
500,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,385.1402443428887,6.38515318737029,58.21107259292628,31.0,5.0,196.0,171.0,225.26539902967787,3.12237588702833,15.51231770966466,95.5,15.0,234.25,171.0,155.88427197764372,4.710519389018311,32.02713486129694,150.5,88.75,198.5
400,0.16666666666666666,7.1,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,641.3657790216126,9.443076729530029,112.68386121254964,4.0,1.0,60.0,171.0,652.2229177014558,10.942925621825964,121.29722921593698,98.5,54.0,143.25,171.0,342.21917090879055,7.29029461396116,69.97158804941702,92.5,81.0,106.0
200,0.0025,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,371.99375204766545,3.4163892605392596,13.844145824899261,17.0,2.0,140.25,171.0,329.59621366529683,11.785029515473058,164.22883613946138,106.0,54.0,209.75,171.0,251.8252122008438,1.654440250917009,1.615788660708371,31.5,20.0,234.0
400,0.125,7.1,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,634.5365250026983,9.292408063017776,105.93441415269932,9.5,0.0,81.75,171.0,556.1650005281706,10.662003533406738,119.14923716443057,90.5,52.0,149.25,171.0,320.2754673714489,6.333054713084002,46.74176182522514,109.5,84.0,140.0
500,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,467.64736146748436,7.710683250172262,69.89100126848608,39.0,7.0,166.25,171.0,289.9669566304064,4.7001198284964225,27.54953247507462,89.0,21.75,215.25,171.0,244.35688871505138,4.112760976239074,19.367566289715125,108.5,77.0,187.0
1600,0.004,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,593.8801896742305,5.23315232278555,30.536068543162173,3.0,0.0,33.75,171.0,254.9544230102706,2.0085555133339463,4.643160809926738,31.5,4.0,308.0,171.0,175.20887088700732,2.383037106687852,8.231232748583686,142.5,25.0,230.0
400,0.003125,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,325.12445934211104,5.167985076918598,33.144081676598915,78.5,29.5,162.0,171.0,203.67492865470703,3.9903120705569397,33.07216199931407,88.5,28.0,290.25,171.0,74.32377437603664,0.05824565917418137,-0.8682405592885738,173.5,102.0,231.0
200,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,435.53877374752756,4.081621081861842,18.06147169287192,15.0,1.0,83.25,171.0,259.3590958979461,1.9289033051545634,3.64103953493259,57.0,1.0,248.5,171.0,152.68295889685922,1.0788012746000748,1.003940168933612,96.5,55.25,310.75
1250,0.003125,1.8,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,425.34884580189,3.4881885659777727,13.191371985607745,4.0,0.0,89.75,171.0,210.531915632761,4.01515604127167,31.80078937108059,100.0,18.75,268.75,171.0,139.02624527404888,1.1954903204779126,1.6459116329860715,122.5,60.0,246.75
320,0.0003125,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,589.0262289894229,5.594116724389503,33.83299726743704,12.0,2.0,61.25,171.0,278.51425008426406,4.127002420980911,22.414143359150515,86.0,7.0,217.0,171.0,366.42888123072396,2.770926938271277,7.256154579090019,18.0,13.0,44.5
400,0.0025,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,335.12631713653883,5.399646063415536,44.549973605204066,38.0,5.0,210.0,171.0,271.2203756864517,5.789813594803535,56.64078888686743,76.5,11.75,234.75,171.0,317.02299305413163,13.42133437823269,198.82969106029836,131.0,64.25,239.0
400,0.003125,2.5,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,351.75920608066536,3.5138184493155267,15.961907926652916,24.5,3.0,142.75,171.0,149.733382842638,1.7439890143137482,8.847570676075273,165.0,35.75,264.25,171.0,123.510437311994,1.705723963104626,3.629283558582112,146.0,74.75,212.5
320,0.125,8.0,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,641.7152430206096,5.6992557393840215,36.4921585274797,1.0,0.0,20.0,171.0,511.9804454883995,14.369048396000178,217.9715582984134,110.0,53.75,194.25,171.0,277.373549455423,3.244077955435484,10.881754951912916,67.0,49.75,133.75
200,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,464.1963232970507,4.801976143323216,28.560799540410816,8.5,0.0,71.0,171.0,389.81042066945827,2.8853644992482383,8.648520778023345,22.0,3.0,55.25,171.0,115.14043734718051,1.9508807114896982,7.434315844742743,149.0,91.0,229.25
160,0.002,1.8,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,327.16919122603827,3.747850329260444,17.95656779025843,32.0,5.0,196.5,171.0,233.8967954836064,5.454722728000081,45.56403382576357,104.0,42.5,256.25,171.0,149.45743018498612,10.53764647391478,141.54096603355052,133.0,112.75,190.25
800,0.0025,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,516.3444299229924,4.2060813317200845,17.79035756127044,9.0,1.0,60.25,171.0,360.2698641296549,2.799162249854308,8.2833183372747,12.0,2.0,99.25,171.0,150.18699282061678,0.7006194604944208,-0.6113260868858652,131.0,25.75,312.0
8000,0.01,1.4,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,579.0606280325921,4.758404529247663,23.27260095955898,3.0,0.0,36.0,171.0,195.8880220623507,3.5154928409010053,26.655467398991526,111.0,29.0,279.75,171.0,69.27301061741146,2.1829312912939445,8.346397631660532,156.5,134.0,194.5
160,0.0015625,1.8,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,411.307832179865,5.368991184978724,39.986863775639705,28.0,1.0,135.75,171.0,372.2180665450026,4.281720322480619,25.0513048354167,35.0,15.0,120.0,171.0,162.20018014015892,2.0765020588234835,5.9794369841055115,141.5,50.75,218.25
400,0.004,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,498.16145569232873,6.191277680082258,47.87142917778749,29.5,5.0,97.0,171.0,243.93406511801504,5.312941045286484,46.243938428896605,107.0,20.0,241.0,171.0,202.7111746118107,2.663251869043073,7.779136405873517,120.5,23.75,206.5
100,0.0015625,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,480.40987545792603,5.163078978687236,29.94589011633532,32.0,7.0,104.0,171.0,221.9978533116931,1.816724633075954,4.156163974591282,65.5,11.0,286.25,171.0,112.1091125868009,1.8794975476142757,2.955674179663804,131.5,110.75,177.25
